"","clave_municipio","nom_mun","pob_mun"
"683","15013","ATIZAPÁN DE ZARAGOZA",523674
"684","15014","ATLACOMULCO",109334
"685","15015","ATLAUTLA",31900
"686","15016","AXAPUSCO",29128
"687","15017","AYAPANGO",10053
"688","15018","CALIMAYA",68489
"689","15019","CAPULHUAC",36921
"690","15020","COACALCO DE BERRIOZÁBAL",293444
"691","15021","COATEPEC HARINAS",38643
"692","15022","COCOTITLÁN",15107
"693","15023","COYOTEPEC",40885
"694","15024","CUAUTITLÁN",178847
"695","15025","CHALCO",399070
"696","15026","CHAPA DE MOTA",31737
"697","15027","CHAPULTEPEC",12772
"698","15028","CHIAUTLA",30045
"699","15029","CHICOLOAPAN",199121
"700","15030","CHICONCUAC",27692
"701","15031","CHIMALHUACÁN",703215
"702","15032","DONATO GUERRA",37428
"703","15033","ECATEPEC DE MORELOS",1645352
"704","15034","ECATZINGO",10827
"705","15035","HUEHUETOCA",163244
"706","15036","HUEYPOXTLA",46757
"707","15037","HUIXQUILUCAN",284965
"708","15038","ISIDRO FABELA",11929
"709","15039","IXTAPALUCA",542211
"710","15040","IXTAPAN DE LA SAL",36911
"711","15041","IXTAPAN DEL ORO",6475
"712","15042","IXTLAHUACA",160139
"713","15043","XALATLACO",30687
"714","15044","JALTENCO",28217
"715","15045","JILOTEPEC",87257
"716","15046","JILOTZINGO",19877
"717","15047","JIQUIPILCO",76826
"718","15048","JOCOTITLÁN",69264
"719","15049","JOQUICINGO",15428
"720","15050","JUCHITEPEC",27116
"721","15051","LERMA",170327
"722","15052","MALINALCO",28155
"723","15053","MELCHOR OCAMPO",61220
"724","15054","METEPEC",242307
"725","15055","MEXICALTZINGO",13807
"726","15056","MORELOS",33164
"727","15057","NAUCALPAN DE JUÁREZ",834434
"728","15058","NEZAHUALCÓYOTL",1072784
"729","15059","NEXTLALPAN",57082
"730","15060","NICOLÁS ROMERO",430601
"731","15061","NOPALTEPEC",10351
"732","15062","OCOYOACAC",72103
"733","15063","OCUILAN",36223
"734","15064","EL ORO",36937
"735","15065","OTUMBA",36331
"736","15066","OTZOLOAPAN",4891
"737","15067","OTZOLOTEPEC",88783
"738","15068","OZUMBA",30785
"739","15069","PAPALOTLA",4862
"740","15070","LA PAZ",288615
"741","15071","POLOTITLÁN",14985
"742","15072","RAYÓN",15972
"743","15073","SAN ANTONIO LA ISLA",31962
"744","15074","SAN FELIPE DEL PROGRESO",144924
"745","15075","SAN MARTÍN DE LAS PIRÁMIDES",29182
"746","15076","SAN MATEO ATENCO",88734
"747","15077","SAN SIMÓN DE GUERRERO",6692
"748","15078","SANTO TOMÁS",9729
"749","15079","SOYANIQUILPAN DE JUÁREZ",14323
"750","15080","SULTEPEC",24103
"751","15081","TECÁMAC",547503
"752","15082","TEJUPILCO",79282
"753","15083","TEMAMATLA",14130
"754","15084","TEMASCALAPA",43593
"755","15085","TEMASCALCINGO",66414
"756","15086","TEMASCALTEPEC",35014
"757","15087","TEMOAYA",105766
"758","15088","TENANCINGO",104677
"759","15089","TENANGO DEL AIRE",11359
"760","15090","TENANGO DEL VALLE",90518
"761","15091","TEOLOYUCAN",65459
"762","15092","TEOTIHUACÁN",58507
"763","15093","TEPETLAOXTOC",32564
"764","15094","TEPETLIXPA",20500
"765","15095","TEPOTZOTLÁN",103696
"766","15096","TEQUIXQUIAC",39489
"767","15097","TEXCALTITLÁN",18482
"768","15098","TEXCALYACAC",5736
"769","15099","TEXCOCO",275427
"770","15100","TEZOYUCA",46708
"771","15101","TIANGUISTENCO",82892
"772","15102","TIMILPAN",16414
"773","15103","TLALMANALCO",49196
"774","15104","TLALNEPANTLA DE BAZ",672202
"775","15105","TLATLAYA",31762
"776","15106","TOLUCA",910608
"777","15107","TONATICO",12912
"778","15108","TULTEPEC",157645
"779","15109","TULTITLÁN",516341
"780","15110","VALLE DE BRAVO",61590
"781","15111","VILLA DE ALLENDE",53275
"782","15112","VILLA DEL CARBÓN",51498
"783","15113","VILLA GUERRERO",69086
"784","15114","VILLA VICTORIA",108196
"785","15115","XONACATLÁN",54633
"786","15116","ZACAZONAPAN",5109
"787","15117","ZACUALPAN",13522
"788","15118","ZINACANTEPEC",203872
"789","15119","ZUMPAHUACÁN",18833
"790","15120","ZUMPANGO",280455
"791","15121","CUAUTITLÁN IZCALLI",555163
"792","15122","VALLE DE CHALCO SOLIDARIDAD",391731
"793","15123","LUVIANOS",28822
"794","15124","SAN JOSÉ DEL RINCÓN",100082
"795","15125","TONANITLA",14883
"796","16001","ACUITZIO",11273
"797","16002","AGUILILLA",14744
"798","16003","ÁLVARO OBREGÓN",23000
"799","16004","ANGAMACUTIRO",14935
"800","16005","ANGANGUEO",10833
"801","16006","APATZINGÁN",126031
"802","16007","APORO",3529
"803","16008","AQUILA",24671
"804","16009","ARIO",36268
"805","16010","ARTEAGA",20332
"806","16011","BRISEÑAS",11681
"807","16012","BUENAVISTA",45530
"808","16013","CARÁCUARO",9176
"809","16014","COAHUAYANA",17022
"810","16015","COALCOMÁN DE VÁZQUEZ PALLARES",19633
"811","16016","COENEO",20965
"812","16017","CONTEPEC",35070
"813","16018","COPÁNDARO",8992
"814","16019","COTIJA",20193
"815","16020","CUITZEO",29910
"816","16021","CHARAPAN",13539
"817","16022","CHARO",25138
"818","16023","CHAVINDA",10417
"819","16024","CHERÁN",20529
"820","16025","CHILCHOTA",40560
"821","16026","CHINICUILA",4773
"822","16027","CHUCÁNDIRO",4944
"823","16028","CHURINTZIO",5233
"824","16029","CHURUMUCO",12342
"825","16030","ECUANDUREO",11850
"826","16031","EPITACIO HUERTA",16112
"827","16032","ERONGARÍCUARO",15715
"828","16033","GABRIEL ZAMORA",21466
"829","16034","HIDALGO",125708
"830","16035","LA HUACANA",30620
"831","16036","HUANDACAREO",11644
"832","16037","HUANIQUEO",7874
"833","16038","HUETAMO",41958
"834","16039","HUIRAMBA",9015
"835","16040","INDAPARAPEO",18385
"836","16041","IRIMBO",16043
"837","16042","IXTLÁN",14302
"838","16043","JACONA",68754
"839","16044","JIMÉNEZ",12946
"840","16045","JIQUILPAN",36153
"841","16046","JUÁREZ",14913
"842","16047","JUNGAPEO",19834
"843","16048","LAGUNILLAS",5745
"844","16049","MADERO",19086
"845","16050","MARAVATÍO",89287
"846","16051","MARCOS CASTELLANOS",13983
"847","16052","LÁZARO CÁRDENAS",195861
"848","16053","MORELIA",848395
"849","16054","MORELOS",7983
"850","16055","MÚGICA",45643
"851","16056","NAHUATZEN",32578
"852","16057","NOCUPÉTARO",8196
"853","16058","NUEVO PARANGARICUTIRO",20513
"854","16059","NUEVO URECHO",9027
"855","16060","NUMARÁN",9437
"856","16061","OCAMPO",24774
"857","16062","PAJACUARÁN",21028
"858","16063","PANINDÍCUARO",14889
"859","16064","PARÁCUARO",26817
"860","16065","PARACHO",39654
"861","16066","PÁTZCUARO",98377
"862","16067","PENJAMILLO",16621
"863","16068","PERIBÁN",29371
"864","16069","LA PIEDAD",106366
"865","16070","PURÉPERO",15503
"866","16071","PURUÁNDIRO",69254
"867","16072","QUERÉNDARO",13961
"868","16073","QUIROGA",27100
"869","16074","COJUMATLÁN DE RÉGULES",10553
"870","16075","LOS REYES",78844
"871","16076","SAHUAYO",74570
"872","16077","SAN LUCAS",17677
"873","16078","SANTA ANA MAYA",12812
"874","16079","SALVADOR ESCALANTE",49776
"875","16080","SENGUIO",19833
"876","16081","SUSUPUATO",9076
"877","16082","TACÁMBARO",79540
"878","16083","TANCÍTARO",33453
"879","16084","TANGAMANDAPIO",31683
"880","16085","TANGANCÍCUARO",35251
"881","16086","TANHUATO",15534
"882","16087","TARETAN",15531
"883","16088","TARÍMBARO",114349
"884","16089","TEPALCATEPEC",24071
"885","16090","TINGAMBATO",16321
"886","16091","TINGÜINDÍN",14920
"887","16092","TIQUICHEO DE NICOLÁS ROMERO",12812
"888","16093","TLALPUJAHUA",28530
"889","16094","TLAZAZALCA",6393
"890","16095","TOCUMBO",12298
"891","16096","TUMBISCATÍO",5971
"892","16097","TURICATO",29056
"893","16098","TUXPAN",25757
"894","16099","TUZANTLA",14329
"895","16100","TZINTZUNTZAN",14911
"896","16101","TZITZIO",8855
"897","16102","URUAPAN",352612
"898","16103","VENUSTIANO CARRANZA",23469
"899","16104","VILLAMAR",15864
"900","16105","VISTA HERMOSA",20982
"901","16106","YURÉCUARO",32303
"902","16107","ZACAPU",76818
"903","16108","ZAMORA",204827
"904","16109","ZINÁPARO",3232
"905","16110","ZINAPÉCUARO",48993
"906","16111","ZIRACUARETIRO",18402
"907","16112","ZITÁCUARO",157056
"908","16113","JOSÉ SIXTO VERDUZCO",26206
"909","17001","AMACUZAC",17598
"910","17002","ATLATLAHUCAN",25232
"911","17003","AXOCHIAPAN",39174
"912","17004","AYALA",89834
"913","17005","COATLÁN DEL RÍO",10520
"914","17006","CUAUTLA",187118
"915","17007","CUERNAVACA",342404
"916","17008","EMILIANO ZAPATA",107053
"917","17009","HUITZILAC",24515
"918","17010","JANTETELCO",18402
"919","17011","JIUTEPEC",215357
"920","17012","JOJUTLA",57682
"921","17013","JONACATEPEC DE LEANDRO VALLE",16694
"922","17014","MAZATEPEC",9653
"923","17015","MIACATLÁN",15802
"924","17016","OCUITUCO",19219
"925","17017","PUENTE DE IXTLA",40016
"926","17018","TEMIXCO",122263
"927","17019","TEPALCINGO",28122
"928","17020","TEPOZTLÁN",54987
"929","17021","TETECALA",7617
"930","17022","TETELA DEL VOLCÁN",14853
"931","17023","TLALNEPANTLA",7943
"932","17024","TLALTIZAPÁN DE ZAPATA",52399
"933","17025","TLAQUILTENANGO",33789
"934","17026","TLAYACAPAN",19408
"935","17027","TOTOLAPAN",12750
"936","17028","XOCHITEPEC",73539
"937","17029","YAUTEPEC",105780
"938","17030","YECAPIXTLA",56083
"939","17031","ZACATEPEC",36094
"940","17032","ZACUALPAN DE AMILPAS",9965
"941","17033","TEMOAC",16574
"942","17034","COATETELCO",11347
"943","17035","XOXOCOTLA",27805
"944","17036","HUEYAPAN",7855
"945","18001","ACAPONETA",37231
"946","18002","AHUACATLÁN",15393
"947","18003","AMATLÁN DE CAÑAS",11536
"948","18004","COMPOSTELA",77400
"949","18005","HUAJICORI",12230
"950","18006","IXTLÁN DEL RÍO",29298
"951","18007","JALA",19321
"952","18008","XALISCO",64988
"953","18009","DEL NAYAR",47547
"954","18010","ROSAMORADA",33545
"955","18011","RUÍZ",24096
"956","18012","SAN BLAS",41517
"957","18013","SAN PEDRO LAGUNILLAS",7683
"958","18014","SANTA MARÍA DEL ORO",24911
"959","18015","SANTIAGO IXCUINTLA",93980
"960","18016","TECUALA",37135
"961","18017","TEPIC",425913
"962","18018","TUXPAN",30063
"963","18019","LA YESCA",13719
"964","18020","BAHÍA DE BANDERAS",187600
"965","19001","ABASOLO",2974
"966","19002","AGUALEGUAS",3382
"967","19003","LOS ALDAMAS",1407
"968","19004","ALLENDE",35289
"969","19005","ANÁHUAC",18030
"970","19006","APODACA",656441
"971","19007","ARAMBERRI",14987
"972","19008","BUSTAMANTE",3661
"973","19009","CADEREYTA JIMÉNEZ",122322
"974","19010","EL CARMEN",104478
"975","19011","CERRALVO",7340
"976","19012","CIÉNEGA DE FLORES",68746
"977","19013","CHINA",9934
"978","19014","DOCTOR ARROYO",35087
"979","19015","DOCTOR COSS",1359
"980","19016","DOCTOR GONZÁLEZ",3256
"981","19017","GALEANA",40883
"982","19018","GARCÍA",397202
"983","19019","SAN PEDRO GARZA GARCÍA",132169
"984","19020","GENERAL BRAVO",5507
"985","19021","GENERAL ESCOBEDO",481212
"986","19022","GENERAL TERÁN",14109
"987","19023","GENERAL TREVIÑO",1808
"988","19024","GENERAL ZARAGOZA",6282
"989","19025","GENERAL ZUAZUA",102149
"990","19026","GUADALUPE",643140
"991","19027","LOS HERRERAS",1957
"992","19028","HIGUERAS",1386
"993","19029","HUALAHUISES",7019
"994","19030","ITURBIDE",3298
"995","19031","JUÁREZ",471505
"996","19032","LAMPAZOS DE NARANJO",5351
"997","19033","LINARES",84657
"998","19034","MARÍN",5115
"999","19035","MELCHOR OCAMPO",1483
"1000","19036","MIER Y NORIEGA",7652
"1001","19037","MINA",6048
"1002","19038","MONTEMORELOS",67426
"1003","19039","MONTERREY",1142994
"1004","19040","PARÁS",906
"1005","19041","PESQUERÍA",147609
"1006","19042","LOS RAMONES",5387
"1007","19043","RAYONES",2377
"1008","19044","SABINAS HIDALGO",34677
"1009","19045","SALINAS VICTORIA",86766
"1010","19046","SAN NICOLÁS DE LOS GARZA",412199
"1011","19047","HIDALGO",16086
"1012","19048","SANTA CATARINA",306322
"1013","19049","SANTIAGO",46784
"1014","19050","VALLECILLO",1552
"1015","19051","VILLALDAMA",3571
"1016","20001","ABEJONES",841
"1017","20002","ACATLÁN DE PÉREZ FIGUEROA",45167
"1018","20003","ASUNCIÓN CACALOTEPEC",2547
"1019","20004","ASUNCIÓN CUYOTEPEJI",1031
"1020","20005","ASUNCIÓN IXTALTEPEC",15261
"1021","20006","ASUNCIÓN NOCHIXTLÁN",20464
"1022","20007","ASUNCIÓN OCOTLÁN",2395
"1023","20008","ASUNCIÓN TLACOLULITA",734
"1024","20009","AYOTZINTEPEC",6857
"1025","20010","EL BARRIO DE LA SOLEDAD",13474
"1026","20011","CALIHUALÁ",1402
"1027","20012","CANDELARIA LOXICHA",11166
"1028","20013","CIÉNEGA DE ZIMATLÁN",3043
"1029","20014","CIUDAD IXTEPEC",28082
"1030","20015","COATECAS ALTAS",5356
"1031","20016","COICOYÁN DE LAS FLORES",9864
"1032","20017","LA COMPAÑÍA",3607
"1033","20018","CONCEPCIÓN BUENAVISTA",752
"1034","20019","CONCEPCIÓN PÁPALO",2754
"1035","20020","CONSTANCIA DEL ROSARIO",4847
"1036","20021","COSOLAPA",14488
"1037","20022","COSOLTEPEC",803
"1038","20023","CUILÁPAM DE GUERRERO",26783
"1039","20024","CUYAMECALCO VILLA DE ZARAGOZA",3644
"1040","20025","CHAHUITES",11356
"1041","20026","CHALCATONGO DE HIDALGO",9035
"1042","20027","CHIQUIHUITLÁN DE BENITO JUÁREZ",2179
"1043","20028","HEROICA CIUDAD DE EJUTLA DE CRESPO",23148
"1044","20029","ELOXOCHITLÁN DE FLORES MAGÓN",4215
"1045","20030","EL ESPINAL",8730
"1046","20031","TAMAZULÁPAM DEL ESPÍRITU SANTO",7185
"1047","20032","FRESNILLO DE TRUJANO",1077
"1048","20033","GUADALUPE ETLA",2929
"1049","20034","GUADALUPE DE RAMÍREZ",1288
"1050","20035","GUELATAO DE JUÁREZ",657
"1051","20036","GUEVEA DE HUMBOLDT",5256
"1052","20037","MESONES HIDALGO",4424
"1053","20038","VILLA HIDALGO YALÁLAG",1885
"1054","20039","HEROICA CIUDAD DE HUAJUAPAN DE LEÓN",78313
"1055","20040","HUAUTEPEC",6385
"1056","20041","HUAUTLA DE JIMÉNEZ",31710
"1057","20042","IXTLÁN DE JUÁREZ",8385
"1058","20043","HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA",113570
"1059","20044","LOMA BONITA",40934
"1060","20045","MAGDALENA APASCO",7888
"1061","20046","MAGDALENA JALTEPEC",2943
"1062","20047","SANTA MAGDALENA JICOTLÁN",81
"1063","20048","MAGDALENA MIXTEPEC",1433
"1064","20049","MAGDALENA OCOTLÁN",1184
"1065","20050","MAGDALENA PEÑASCO",3742
"1066","20051","MAGDALENA TEITIPAC",4644
"1067","20052","MAGDALENA TEQUISISTLÁN",5996
"1068","20053","MAGDALENA TLACOTEPEC",1297
"1069","20054","MAGDALENA ZAHUATLÁN",404
"1070","20055","MARISCALA DE JUÁREZ",3739
"1071","20056","MÁRTIRES DE TACUBAYA",1446
"1072","20057","MATÍAS ROMERO AVENDAÑO",38183
"1073","20058","MAZATLÁN VILLA DE FLORES",12722
"1074","20059","HEROICA CIUDAD DE MIAHUATLÁN DE PORFIRIO DÍAZ",50375
"1075","20060","MIXISTLÁN DE LA REFORMA",2487
"1076","20061","MONJAS",2893
"1077","20062","NATIVIDAD",498
"1078","20063","NAZARENO ETLA",4293
"1079","20064","NEJAPA DE MADERO",8494
"1080","20065","IXPANTEPEC NIEVES",1079
"1081","20066","SANTIAGO NILTEPEC",5342
"1082","20067","OAXACA DE JUÁREZ",270955
"1083","20068","OCOTLÁN DE MORELOS",23751
"1084","20069","LA PE",3052
"1085","20070","PINOTEPA DE DON LUIS",6416
"1086","20071","PLUMA HIDALGO",3255
"1087","20072","SAN JOSÉ DEL PROGRESO",8059
"1088","20073","PUTLA VILLA DE GUERRERO",34652
"1089","20074","SANTA CATARINA QUIOQUITANI",456
"1090","20075","REFORMA DE PINEDA",2660
"1091","20076","LA REFORMA",3411
"1092","20077","REYES ETLA",4370
"1093","20078","ROJAS DE CUAUHTÉMOC",1301
"1094","20079","SALINA CRUZ",84438
"1095","20080","SAN AGUSTÍN AMATENGO",1593
"1096","20081","SAN AGUSTÍN ATENANGO",1871
"1097","20082","SAN AGUSTÍN CHAYUCO",4163
"1098","20083","SAN AGUSTÍN DE LAS JUNTAS",11391
"1099","20084","SAN AGUSTÍN ETLA",4168
"1100","20085","SAN AGUSTÍN LOXICHA",26194
"1101","20086","SAN AGUSTÍN TLACOTEPEC",944
"1102","20087","SAN AGUSTÍN YATARENI",5521
"1103","20088","SAN ANDRÉS CABECERA NUEVA",2881
"1104","20089","SAN ANDRÉS DINICUITI",2308
"1105","20090","SAN ANDRÉS HUAXPALTEPEC",6234
"1106","20091","SAN ANDRÉS HUAYÁPAM",6279
"1107","20092","SAN ANDRÉS IXTLAHUACA",1776
"1108","20093","SAN ANDRÉS LAGUNAS",518
"1109","20094","SAN ANDRÉS NUXIÑO",1850
"1110","20095","SAN ANDRÉS PAXTLÁN",4562
"1111","20096","SAN ANDRÉS SINAXTLA",756
"1112","20097","SAN ANDRÉS SOLAGA",1771
"1113","20098","SAN ANDRÉS TEOTILÁLPAM",4233
"1114","20099","SAN ANDRÉS TEPETLAPA",381
"1115","20100","SAN ANDRÉS YAÁ",393
"1116","20101","SAN ANDRÉS ZABACHE",748
"1117","20102","SAN ANDRÉS ZAUTLA",5326
"1118","20103","SAN ANTONINO CASTILLO VELASCO",6064
"1119","20104","SAN ANTONINO EL ALTO",2705
"1120","20105","SAN ANTONINO MONTE VERDE",7678
"1121","20106","SAN ANTONIO ACUTLA",249
"1122","20107","SAN ANTONIO DE LA CAL",26282
"1123","20108","SAN ANTONIO HUITEPEC",2936
"1124","20109","SAN ANTONIO NANAHUATÍPAM",1232
"1125","20110","SAN ANTONIO SINICAHUA",1668
"1126","20111","SAN ANTONIO TEPETLAPA",4873
"1127","20112","SAN BALTAZAR CHICHICÁPAM",2576
"1128","20113","SAN BALTAZAR LOXICHA",3169
"1129","20114","SAN BALTAZAR YATZACHI EL BAJO",674
"1130","20115","SAN BARTOLO COYOTEPEC",10391
"1131","20116","SAN BARTOLOMÉ AYAUTLA",4131
"1132","20117","SAN BARTOLOMÉ LOXICHA",2213
"1133","20118","SAN BARTOLOMÉ QUIALANA",2389
"1134","20119","SAN BARTOLOMÉ YUCUAÑE",735
"1135","20120","SAN BARTOLOMÉ ZOOGOCHO",449
"1136","20121","SAN BARTOLO SOYALTEPEC",596
"1137","20122","SAN BARTOLO YAUTEPEC",653
"1138","20123","SAN BERNARDO MIXTEPEC",2829
"1139","20124","HEROICA VILLA DE SAN BLAS ATEMPA",19696
"1140","20125","SAN CARLOS YAUTEPEC",11662
"1141","20126","SAN CRISTÓBAL AMATLÁN",5396
"1142","20127","SAN CRISTÓBAL AMOLTEPEC",1252
"1143","20128","SAN CRISTÓBAL LACHIRIOAG",1342
"1144","20129","SAN CRISTÓBAL SUCHIXTLAHUACA",356
"1145","20130","SAN DIONISIO DEL MAR",5180
"1146","20131","SAN DIONISIO OCOTEPEC",11411
"1147","20132","SAN DIONISIO OCOTLÁN",1380
"1148","20133","SAN ESTEBAN ATATLAHUCA",3934
"1149","20134","SAN FELIPE JALAPA DE DÍAZ",28500
"1150","20135","SAN FELIPE TEJALÁPAM",8231
"1151","20136","SAN FELIPE USILA",12191
"1152","20137","SAN FRANCISCO CAHUACUÁ",3450
"1153","20138","SAN FRANCISCO CAJONOS",451
"1154","20139","SAN FRANCISCO CHAPULAPA",2195
"1155","20140","SAN FRANCISCO CHINDÚA",812
"1156","20141","SAN FRANCISCO DEL MAR",8710
"1157","20142","SAN FRANCISCO HUEHUETLÁN",842
"1158","20143","SAN FRANCISCO IXHUATÁN",8990
"1159","20144","SAN FRANCISCO JALTEPETONGO",919
"1160","20145","SAN FRANCISCO LACHIGOLÓ",5215
"1161","20146","SAN FRANCISCO LOGUECHE",2803
"1162","20147","SAN FRANCISCO NUXAÑO",376
"1163","20148","SAN FRANCISCO OZOLOTEPEC",2182
"1164","20149","SAN FRANCISCO SOLA",2019
"1165","20150","SAN FRANCISCO TELIXTLAHUACA",13856
"1166","20151","SAN FRANCISCO TEOPAN",312
"1167","20152","SAN FRANCISCO TLAPANCINGO",2472
"1168","20153","SAN GABRIEL MIXTEPEC",4854
"1169","20154","SAN ILDEFONSO AMATLÁN",2329
"1170","20155","SAN ILDEFONSO SOLA",1060
"1171","20156","SAN ILDEFONSO VILLA ALTA",3677
"1172","20157","SAN JACINTO AMILPAS",16827
"1173","20158","SAN JACINTO TLACOTEPEC",2233
"1174","20159","SAN JERÓNIMO COATLÁN",5537
"1175","20160","SAN JERÓNIMO SILACAYOAPILLA",1429
"1176","20161","SAN JERÓNIMO SOSOLA",2730
"1177","20162","SAN JERÓNIMO TAVICHE",2046
"1178","20163","SAN JERÓNIMO TECÓATL",1577
"1179","20164","SAN JORGE NUCHITA",2881
"1180","20165","SAN JOSÉ AYUQUILA",1629
"1181","20166","SAN JOSÉ CHILTEPEC",11310
"1182","20167","SAN JOSÉ DEL PEÑASCO",2149
"1183","20168","SAN JOSÉ ESTANCIA GRANDE",938
"1184","20169","SAN JOSÉ INDEPENDENCIA",4251
"1185","20170","SAN JOSÉ LACHIGUIRI",3700
"1186","20171","SAN JOSÉ TENANGO",18102
"1187","20172","SAN JUAN ACHIUTLA",408
"1188","20173","SAN JUAN ATEPEC",1457
"1189","20174","ÁNIMAS TRUJANO",4564
"1190","20175","SAN JUAN BAUTISTA ATATLAHUCA",1424
"1191","20176","SAN JUAN BAUTISTA COIXTLAHUACA",2725
"1192","20177","SAN JUAN BAUTISTA CUICATLÁN",10365
"1193","20178","SAN JUAN BAUTISTA GUELACHE",6692
"1194","20179","SAN JUAN BAUTISTA JAYACATLÁN",1447
"1195","20180","SAN JUAN BAUTISTA LO DE SOTO",2344
"1196","20181","SAN JUAN BAUTISTA SUCHITEPEC",453
"1197","20182","SAN JUAN BAUTISTA TLACOATZINTEPEC",2181
"1198","20183","SAN JUAN BAUTISTA TLACHICHILCO",1475
"1199","20184","SAN JUAN BAUTISTA TUXTEPEC",159343
"1200","20185","SAN JUAN CACAHUATEPEC",8939
"1201","20186","SAN JUAN CIENEGUILLA",524
"1202","20187","SAN JUAN COATZÓSPAM",1808
"1203","20188","SAN JUAN COLORADO",9609
"1204","20189","SAN JUAN COMALTEPEC",3116
"1205","20190","SAN JUAN COTZOCÓN",22149
"1206","20191","SAN JUAN CHICOMEZÚCHIL",296
"1207","20192","SAN JUAN CHILATECA",1522
"1208","20193","SAN JUAN DEL ESTADO",2807
"1209","20194","SAN JUAN DEL RÍO",1372
"1210","20195","SAN JUAN DIUXI",1056
"1211","20196","SAN JUAN EVANGELISTA ANALCO",407
"1212","20197","SAN JUAN GUELAVÍA",3288
"1213","20198","SAN JUAN GUICHICOVI",29802
"1214","20199","SAN JUAN IHUALTEPEC",494
"1215","20200","SAN JUAN JUQUILA MIXES",3703
"1216","20201","SAN JUAN JUQUILA VIJANOS",1880
"1217","20202","SAN JUAN LACHAO",4531
"1218","20203","SAN JUAN LACHIGALLA",3538
"1219","20204","SAN JUAN LAJARCIA",634
"1220","20205","SAN JUAN LALANA",16989
"1221","20206","SAN JUAN DE LOS CUÉS",2421
"1222","20207","SAN JUAN MAZATLÁN",19032
"1223","20208","SAN JUAN MIXTEPEC",6941
"1224","20209","SAN JUAN MIXTEPEC",607
"1225","20210","SAN JUAN ÑUMÍ",5773
"1226","20211","SAN JUAN OZOLOTEPEC",3411
"1227","20212","SAN JUAN PETLAPA",3117
"1228","20213","SAN JUAN QUIAHIJE",4203
"1229","20214","SAN JUAN QUIOTEPEC",2033
"1230","20215","SAN JUAN SAYULTEPEC",879
"1231","20216","SAN JUAN TABAÁ",1241
"1232","20217","SAN JUAN TAMAZOLA",3325
"1233","20218","SAN JUAN TEITA",544
"1234","20219","SAN JUAN TEITIPAC",2668
"1235","20220","SAN JUAN TEPEUXILA",2692
"1236","20221","SAN JUAN TEPOSCOLULA",1494
"1237","20222","SAN JUAN YAEÉ",1426
"1238","20223","SAN JUAN YATZONA",440
"1239","20224","SAN JUAN YUCUITA",643
"1240","20225","SAN LORENZO",5903
"1241","20226","SAN LORENZO ALBARRADAS",2971
"1242","20227","SAN LORENZO CACAOTEPEC",18339
"1243","20228","SAN LORENZO CUAUNECUILTITLA",833
"1244","20229","SAN LORENZO TEXMELÚCAN",9148
"1245","20230","SAN LORENZO VICTORIA",932
"1246","20231","SAN LUCAS CAMOTLÁN",3187
"1247","20232","SAN LUCAS OJITLÁN",22185
"1248","20233","SAN LUCAS QUIAVINÍ",1720
"1249","20234","SAN LUCAS ZOQUIÁPAM",7163
"1250","20235","SAN LUIS AMATLÁN",3829
"1251","20236","SAN MARCIAL OZOLOTEPEC",1372
"1252","20237","SAN MARCOS ARTEAGA",1221
"1253","20238","HEROICO SAN MARTÍN DE LOS CANSECOS",994
"1254","20239","SAN MARTÍN HUAMELÚLPAM",1000
"1255","20240","SAN MARTÍN ITUNYOSO",2749
"1256","20241","SAN MARTÍN LACHILÁ",1034
"1257","20242","SAN MARTÍN PERAS",12047
"1258","20243","SAN MARTÍN TILCAJETE",1975
"1259","20244","SAN MARTÍN TOXPALAN",3934
"1260","20245","SAN MARTÍN ZACATEPEC",1324
"1261","20246","SAN MATEO CAJONOS",611
"1262","20247","CAPULÁLPAM DE MÉNDEZ",1619
"1263","20248","SAN MATEO DEL MAR",15571
"1264","20249","SAN MATEO YOLOXOCHITLÁN",3831
"1265","20250","SAN MATEO ETLATONGO",1239
"1266","20251","SAN MATEO NEJÁPAM",1211
"1267","20252","SAN MATEO PEÑASCO",2384
"1268","20253","SAN MATEO PIÑAS",2021
"1269","20254","SAN MATEO RÍO HONDO",3207
"1270","20255","SAN MATEO SINDIHUI",1977
"1271","20256","SAN MATEO TLAPILTEPEC",229
"1272","20257","SAN MELCHOR BETAZA",1052
"1273","20258","SAN MIGUEL ACHIUTLA",698
"1274","20259","SAN MIGUEL AHUEHUETITLÁN",2142
"1275","20260","SAN MIGUEL ALOÁPAM",2191
"1276","20261","SAN MIGUEL AMATITLÁN",6932
"1277","20262","SAN MIGUEL AMATLÁN",966
"1278","20263","SAN MIGUEL COATLÁN",3184
"1279","20264","SAN MIGUEL CHICAHUA",2169
"1280","20265","SAN MIGUEL CHIMALAPA",6711
"1281","20266","SAN MIGUEL DEL PUERTO",8551
"1282","20267","SAN MIGUEL DEL RÍO",245
"1283","20268","SAN MIGUEL EJUTLA",1149
"1284","20269","SAN MIGUEL EL GRANDE",4313
"1285","20270","SAN MIGUEL HUAUTLA",1311
"1286","20271","SAN MIGUEL MIXTEPEC",3194
"1287","20272","SAN MIGUEL PANIXTLAHUACA",6101
"1288","20273","SAN MIGUEL PERAS",3818
"1289","20274","SAN MIGUEL PIEDRAS",1328
"1290","20275","SAN MIGUEL QUETZALTEPEC",7286
"1291","20276","SAN MIGUEL SANTA FLOR",691
"1292","20277","VILLA SOLA DE VEGA",12350
